YEAR,HOSPITAL,COUNTY,LATITUDE,LONGITUDE,Hospital Ratings,# of Cases
2023,Alameda Hospital,Alameda,37.762953,-122.25362,As Expected,150
2023,Alta Bates Summit Medical Center - Alta Bates Campus,Alameda,37.85633,-122.25784,As Expected,291
2023,Alameda County Medical Center - Highland Campus,Alameda,37.79917,-122.2312,As Expected,553
2023,Alta Bates Summit Medical Center - Summit Campus - Hawthorne,Alameda,37.82106,-122.26257,As Expected,755
2023,Saint Rose Hospital,Alameda,37.63291,-122.08962,Worse,216
2023,Washington Hospital - Fremont,Alameda,37.55847,-121.98006,As Expected,586
2023,Valleycare Medical Center,Alameda,37.69206,-121.88095,As Expected,384
2023,Kaiser Foundation Hospital – Fremont,Alameda,37.55055,-121.97483,As Expected,270
2023,Eden Medical Center,Alameda,37.6983769,-122.0874055,As Expected,303
2023,Kaiser Foundation Hospital – Oakland/Richmond,Alameda,37.82402,-122.25791,As Expected,983
2023,Kaiser Foundation Hospital – San Leandro,Alameda,37.70611,-122.16917,As Expected,447
2023,Sutter Amador Hospital,Amador,38.34743,-120.77272,As Expected,120
2023,Biggs Gridley Memorial Hospital,Butte,39.36705,-121.69058,As Expected,19
2023,Oroville Hospital,Butte,39.50485,-121.5428,As Expected,413
2023,Enloe Medical Center - Esplanade Campus,Butte,39.74224,-121.84922,As Expected,1021
2023,Mark Twain Saint Joseph's Hospital,Calaveras,38.19021,-120.67105,As Expected,40
2023,Colusa Regional Medical Center,Colusa,39.20727,-122.00031,As Expected,45
2023,Contra Costa Regional Medical Center,Contra Costa,38.00646,-122.13101,As Expected,324
2023,Sutter Delta Medical Center,Contra Costa,37.98222,-121.8054,As Expected,476
2023,John Muir Medical Center - Walnut Creek Campus,Contra Costa,37.91434,-122.04183,As Expected,496
2023,Kaiser Foundation Hospital - Walnut Creek,Contra Costa,37.8923,-122.05828,As Expected,488
2023,John Muir Medical Center - Concord Campus,Contra Costa,37.98615,-122.03874,As Expected,788
2023,San Ramon Regional Medical Center,Contra Costa,37.77713,-121.96076,As Expected,164
2023,Kaiser Foundation Hospital - Antioch,Contra Costa,37.951975,-121.776854,As Expected,471
2023,Sutter Coast Hospital,Del Norte,41.77278,-124.19514,As Expected,79
2023,Barton Memorial Hospital,El Dorado,38.91224,-119.99784,As Expected,42
2023,Marshall Medical Center,El Dorado,38.72557326,-120.7909638,As Expected,185
2023,Clovis Community Medical Center,Fresno,36.83745,-119.66072,Worse,750
2023,Coalinga Regional Medical Center,Fresno,36.15096,-120.33501,As Expected,12
2023,Community Regional Medical Center - Fresno,Fresno,36.74253,-119.78324,Worse,1472
2023,Sierra Kings District Hospital,Fresno,36.60789,-119.45145,As Expected,17
2023,Saint Agnes Medical Center,Fresno,36.8370782,-119.7649963,Worse,1354
2023,San Joaquin Valley Rehabilitation Hospital,Fresno,36.84034,-119.760671,As Expected,7
2023,Kaiser Foundation Hospital - Fresno,Fresno,36.84246,-119.7832,As Expected,349
2023,Glenn Medical Center,Glenn,39.52055,-122.20791,As Expected,4
2023,Mad River Community Hospital,Humboldt,40.90351,-124.09038,As Expected,33
2023,Jerold Phelps Community Hospital,Humboldt,40.10195,-123.79286,,
2023,Redwood Memorial Hospital,Humboldt,40.58267,-124.13549,As Expected,26
2023,Saint Joseph Hospital - Eureka,Humboldt,40.7832,-124.14216,Worse,336
2023,El Centro Regional Medical Center,Imperial,32.78138,-115.49824,As Expected,209
2023,Pioneers Memorial Hospital,Imperial,32.96003,-115.55183,As Expected,131
2023,Northern Inyo Hospital,Inyo,37.36207,-118.40756,As Expected,24
2023,Southern Inyo Hospital,Inyo,36.60867,-118.05792,As Expected,5
2023,Delano Regional Medical Center,Kern,35.76143,-119.23706,As Expected,79
