HOSPITAL,COUNTY,total_stroke_cases,avg_mortality,years_reported
Community Regional Medical Center - Fresno,Fresno,22909,15.99,14
Mercy San Juan Hospital,Sacramento,19785,15.14,14
Cedars Sinai Medical Center,Los Angeles,18163,11.53,14
Kaiser Foundation Hospital - Sunset,Los Angeles,17344,12.29,14
Grossmont Hospital,San Diego,16694,17.48,14
Hoag Memorial Hospital Presbyterian,Orange,16596,11.21,14
Kaiser Foundation Hospital - Sacramento/Roseville-Morse,Sacramento,16243,11.3,14
Kaiser Foundation Hospital - Fontana,San Bernardino,16034,13.03,14
Loma Linda University Medical Center,San Bernardino,15404,13.93,14
Doctors Medical Center,Stanislaus,15321,14.87,14
Pomona Valley Hospital Medical Center,Los Angeles,15001,14.6,14
Riverside Community Hospital,Riverside,14713,12.39,14
Long Beach Memorial Medical Center,Los Angeles,14487,13.58,14
Eisenhower Medical Center,Riverside,14306,12.94,14
Scripps Mercy Hospital,San Diego,13901,14.33,14
Regional Medical of San Jose,Santa Clara,13609,13.1,14
Presbyterian Intercommunity Hospital,Los Angeles,13572,13.72,14
Santa Barbara Cottage Hospital,Santa Barbara,13290,13.74,14
Torrance Memorial Medical Center,Los Angeles,12907,16.42,14
San Joaquin Community Hospital,Kern,12892,15.21,14
Saint Jude Medical Center,Orange,12849,10.59,14
Stanford Hospital,Santa Clara,12757,11.67,14
Providence Little Company of Mary Medical Center - Torrance,Los Angeles,12683,12.93,14
John Muir Medical Center - Walnut Creek Campus,Contra Costa,12666,16.08,14
Desert Regional Medical Center,Riverside,12233,15.21,14
